STABR,SURVYEAR,TYPE,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,DPL,FLAG_P_DPL,FLAG_P_G,STNAME
AL,2008,HP,,,,,,,,,,,,,,,,Alabama
AK,2008,HP,199,201,177,190,192,157,150,169,154,160,176,202,119,A,A,Alaska
AZ,2008,HP,,,,,,,,,,,,,,,,Arizona
AR,2008,HP,,,,,,,,,,,,,,,,Arkansas
CA,2008,HP,2828,2736,2884,2889,3010,2996,2954,3201,3410,3442,3258,3166,2826,A,A,California
CO,2008,HP,,,,,,,,,,,,,,,,Colorado
CT,2008,HP,,,,,,,,,,,,,,,,Connecticut
DE,2008,HP,,,,,,,,,,,,,,,,Delaware
DC,2008,HP,,,,,,,,,,,,,,,,District of Columbia
FL,2008,HP,,,,,,,,,,,,,,,,Florida
GA,2008,HP,,,,,,,,,,,,,,,,Georgia
HI,2008,HP,,,,,,,,,,,,,,,,Hawaii
ID,2008,HP,,,,,,,,,,,,,,,,Idaho
IL,2008,HP,,,,,,,,,,,,,,,,Illinois
IN,2008,HP,,,,,,,,,,,,,,,,Indiana
IA,2008,HP,,,,,,,,,,,,,,,,Iowa
KS,2008,HP,,,,,,,,,,,,,,,,Kansas
KY,2008,HP,,,,,,,,,,,,,,,,Kentucky
LA,2008,HP,,,,,,,,,,,,,,,,Louisiana
ME,2008,HP,,,,,,,,,,,,,,,,Maine
MD,2008,HP,,,,,,,,,,,,,,,,Maryland
MA,2008,HP,82,119,98,61,73,70,101,80,68,82,106,59,49,A,A,Massachusetts
MI,2008,HP,,,,,,,,,,,,,,,,Michigan
MN,2008,HP,,,,,,,,,,,,,,,,Minnesota
MS,2008,HP,3,2,1,2,1,2,2,0,3,1,2,1,2,A,A,Mississippi
MO,2008,HP,,,,,,,,,,,,,,,,Missouri
MT,2008,HP,,,,,,,,,,,,,,,,Montana
NE,2008,HP,,,,,,,,,,,,,,,,Nebraska
NV,2008,HP,,,,,,,,,,,,,,,,Nevada
NH,2008,HP,,,,,,,,,,,,,,,,New Hampshire
NJ,2008,HP,249,215,187,192,176,140,210,217,169,230,215,233,274,A,A,New Jersey
NM,2008,HP,,,,,,,,,,,,,,,,New Mexico
NY,2008,HP,,,,,,,,,,,,,,,,New York
NC,2008,HP,,,,,,,,,,,,,,,,North Carolina
ND,2008,HP,,,,,,,,,,,,,,,,North Dakota
OH,2008,HP,,,,,,,,,,,,,,,,Ohio
OK,2008,HP,,,,,,,,,,,,,,,,Oklahoma
OR,2008,HP,,,,,,,,,,,,,,,,Oregon
PA,2008,HP,,,,,,,,,,,,,,,,Pennsylvania
RI,2008,HP,,,,,,,,,,,,,,,,Rhode Island
SC,2008,HP,,,,,,,,,,,,,,,,South Carolina
SD,2008,HP,,,,,,,,,,,,,,,,South Dakota
TN,2008,HP,,,,,,,,,,,,,,,,Tennessee
TX,2008,HP,,,,,,,,,,,,,,,,Texas
UT,2008,HP,,,,,,,,,,,,,,,,Utah
VT,2008,HP,0,5,2,6,7,6,6,6,7,9,8,13,13,A,A,Vermont
VA,2008,HP,,,,,,,,,,,,,,,,Virginia
WA,2008,HP,,,,,,,,,,,,,,,,Washington
WV,2008,HP,,,,,,,,,,,,,,,,West Virginia
WI,2008,HP,,,,,,,,,,,,,,,,Wisconsin
WY,2008,HP,,,,,,,,,,,,,,,,Wyoming
AL,2008,TR,,,,,,,,,,,,,,,,Alabama
AK,2008,TR,855,788,799,730,671,670,667,634,609,580,622,522,391,A,A,Alaska
AZ,2008,TR,,,,,,,,,,,,,,,,Arizona
AR,2008,TR,,,,,,,,,,,,,,,,Arkansas
CA,2008,TR,22238,20781,18689,17158,15166,14054,13201,13253,13940,13392,12584,11609,6766,A,A,California
CO,2008,TR,,,,,,,,,,,,,,,,Colorado
CT,2008,TR,,,,,,,,,,,,,,,,Connecticut
DE,2008,TR,,,,,,,,,,,,,,,,Delaware
DC,2008,TR,,,,,,,,,,,,,,,,District of Columbia
FL,2008,TR,,,,,,,,,,,,,,,,Florida
GA,2008,TR,,,,,,,,,,,,,,,,Georgia
