STABR,SURVYEAR,TYPE,BIRTHS,BIRTHYR,FLAG_P
_M,2000,AM,"4,142",1994,A
_M,2000,AS,"16,924",1994,A
_M,2000,BL,"128,398",1994,A
_M,2000,G,"869,567",1994,A
_M,2000,HI,"51,730",1994,A
_M,2000,NP,"869,567",1994,A
_M,2000,WH,"668,373",1994,A
_M,2001,AM,"4,292",1995,A
_M,2001,AS,"18,177",1995,A
_M,2001,BL,"119,168",1995,A
_M,2001,G,"858,377",1995,A
_M,2001,HI,"54,075",1995,A
_M,2001,NP,"858,377",1995,A
_M,2001,WH,"662,665",1995,A
_M,2002,AM,"4,273",1996,A
_M,2002,AS,"19,209",1996,A
_M,2002,BL,"116,449",1996,A
_M,2002,G,"853,486",1996,A
_M,2002,HI,"57,404",1996,A
_M,2002,NP,"853,486",1996,A
_M,2002,WH,"656,151",1996,A
_M,2003,AM,"4,429",1997,A
_M,2003,AS,"20,363",1997,A
_M,2003,BL,"116,571",1997,A
_M,2003,G,"852,346",1997,A
_M,2003,HI,"60,190",1997,A
_M,2003,NP,"852,346",1997,A
_M,2003,WH,"650,793",1997,A
_M,2004,AM,"4,525",1998,A
_M,2004,AS,"21,277",1998,A
_M,2004,BL,"118,201",1998,A
_M,2004,G,"861,418",1998,A
_M,2004,HI,"64,442",1998,A
_M,2004,NP,"861,418",1998,A
_M,2004,WH,"652,973",1998,A
_M,2005,AM,"4,602",1999,A
_M,2005,AS,"22,933",1999,A
_M,2005,BL,"116,175",1999,A
_M,2005,G,"864,147",1999,A
_M,2005,HI,"69,002",1999,A
_M,2005,NP,"864,147",1999,A
_M,2005,WH,"651,435",1999,A
_M,2006,AM,"4,746",2000,A
_M,2006,AS,"25,368",2000,A
_M,2006,BL,"119,129",2000,A
_M,2006,G,"880,349",2000,A
_M,2006,HI,"76,466",2000,A
_M,2006,NP,"880,349",2000,A
_M,2006,WH,"654,640",2000,A
_M,2007,AM,"4,868",2001,A
_M,2007,AS,"25,347",2001,A
_M,2007,BL,"116,672",2001,A
_M,2007,G,"868,926",2001,A
_M,2007,HI,"81,564",2001,A
_M,2007,NP,"868,926",2001,A
_M,2007,WH,"640,475",2001,A
_M,2008,AM,"4,953",2002,A
_M,2008,AS,"26,698",2002,A
_M,2008,BL,"113,440",2002,A
_M,2008,G,"858,580",2002,A
_M,2008,HI,"83,207",2002,A
_M,2008,NP,"858,580",2002,A
_M,2008,WH,"630,282",2002,A
