STABR,SURVYEAR,TYPE,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,DPL,FLAG_P_G,FLAG_P_DPL,STNAME,,
AL,2000,G,"59,669","58,887","59,263","59,749","60,123","58,825","59,219","56,951","60,463","51,991","46,392","42,512","37,082",A,A,Alabama,,
AL,2001,G,"58,102","56,877","58,654","58,929","59,698","60,546","60,194","56,591","61,038","51,525","46,138","42,909","35,887",A,A,Alabama,,
AL,2002,G,"56,904","55,984","57,269","58,690","59,156","60,464","61,950","57,576","61,646","52,543","46,449","42,521","36,741",A,A,Alabama,,
AL,2003,G,"58,064","54,935","56,429","57,323","58,853","59,799","61,854","59,663","62,718","53,695","47,489","42,005","36,464",A,A,Alabama,,
AL,2004,G,"58,567","55,661","54,954","56,182","57,293","59,406","61,450","59,286","64,569","53,604","47,538","42,672","37,453",A,A,Alabama,,
AL,2005,G,"59,756","57,545","56,618","55,919","57,115","58,438","61,130","59,643","65,192","55,492","48,278","43,452","37,918",A,A,Alabama,,
AL,2006,G,"60,977","58,289","57,413","56,720","56,326","57,483","59,802","59,573","64,943","55,864","49,690","44,471","38,912",A,A,Alabama,,
AL,2007,G,"59,926","59,096","58,229","57,795","57,017","56,749","58,810","58,792","65,355","55,502","49,884","46,200","41,346",A,A,Alabama,,
AL,2008,G,"57,882","58,683","59,243","58,593","57,955","57,328","57,910","57,809","64,681","56,559","49,587","46,763","42,082",A,A,Alabama,,
AL,2009,G,"57,821","56,628","58,608","59,512","58,656","58,231","58,118","57,027","63,338","57,794","50,199","48,164","43,166",A,A,Alabama,,
AL,2010,G,"58,448","56,699","57,216","59,117","59,897","59,157","59,242","57,992","62,615","57,644","51,962","49,719","46,035",A,A,Alabama,,
AL,2011,G,"57,859","56,315","55,991","56,491","58,415","59,082","59,050","57,919","61,412","55,908","50,785","49,510","45,394",A,A,Alabama,,
AL,2012,G,"58,287","56,361","55,868","55,859","56,523","58,240","59,685","58,151","61,642","56,229","50,387","48,945","44,233",A,A,Alabama,,
AL,2013,G,"60,315","56,909","56,003","55,719","55,699","56,428","58,455","58,799","62,069","56,144","51,527","48,965","44,427",A,P,Alabama,,
AL,2014,G,"61,131","58,809","56,668","55,928","55,624","55,634","56,846","57,626","63,179","56,243","50,635","50,005","45,471",P,P,Alabama,,
AL,2015,G,"59,201","59,553","58,564","56,561","55,825","55,516","56,045","56,058","61,838","57,294","50,642","49,117","44,785",P,P,Alabama,,
AL,2016,G,"56,600","57,605","59,177","58,353","56,385","55,619","55,843","55,174","59,926","56,060","51,579","48,962","44,571",P,P,Alabama,,
AL,2017,G,"55,739","55,138","57,263","59,019","58,229","56,236","55,989","55,009","59,008","54,445","50,627","49,935","45,389",P,P,Alabama,,
AL,2018,G,"54,984","54,316",Ra,"57,120","58,884","58,094","56,591","55,164","58,881","53,577","49,222","49,063","44,618",P,P,Alabama,,
AL,2019,G,"54,839","53,568","54,027","54,700","56,993","58,746","58,478","55,761","59,085","53,429","48,352","47,694","43,394",P,P,Alabama,,
AL,2020,G,"56,013","53,417","53,278","53,888","54,574","56,849","59,133","57,617","59,704","53,616","48,201","46,839","42,623",P,P,Alabama,,
AL,2021,G,,"54,557","53,117","53,134","53,760","54,429","57,216","58,253","61,666","54,184","48,381","46,680","42,468",P,P,Alabama,,
AL,2022,G,,,"54,253","52,978","53,012","53,624","54,783","56,368","62,352","55,976","48,913","46,862","42,627",P,P,Alabama,,
AL,2023,G,,,,"54,113","52,856","52,880","53,972","53,974","60,343","56,594","50,532","47,383","43,104",P,P,Alabama,,
AL,2024,G,,,,,"53,989","52,724","53,225","53,175","57,783","54,766","51,079","48,950","44,533",P,P,Alabama,,
AL,2025,G,,,,,,"53,852","53,067","52,438","56,924","52,443","49,427","49,477","45,013",P,P,Alabama,,
AL,2026,G,,,,,,,"54,202","52,282","56,133","51,665","47,333","47,876","43,555",P,P,Alabama,,
AL,2027,G,,,,,,,,"53,401","55,967","50,947","46,633","45,849","41,710",P,P,Alabama,,
AL,2028,G,,,,,,,,,"57,165","50,796","45,985","45,171","41,094",P,P,Alabama,,
AL,2029,G,,,,,,,,,,"51,883","45,847","44,544","40,523",P,P,Alabama,,
AL,2030,G,,,,,,,,,,,"46,828","44,410","40,402",P,P,Alabama,,
AL,2031,G,,,,,,,,,,,,"45,360","41,266",P,P,Alabama,,
AL,2000,HI,"1,085",947,941,819,784,739,672,624,626,475,334,268,238,A,A,Alabama,,
AL,2001,HI,"1,324","1,122","1,029","1,002",877,883,827,703,743,546,401,322,245,A,A,Alabama,,
AL,2002,HI,"1,400","1,300","1,206","1,111","1,099","1,001",981,875,891,657,475,395,313,A,A,Alabama,,
AL,2003,HI,"1,697","1,443","1,396","1,329","1,218","1,190","1,102","1,024","1,046",790,551,418,325,A,A,Alabama,,
AL,2004,HI,"1,949","1,728","1,583","1,496","1,456","1,345","1,320","1,167","1,229",915,681,508,404,A,A,Alabama,,
AL,2005,HI,"2,235","2,066","1,875","1,651","1,641","1,569","1,512","1,390","1,416","1,046",764,652,478,A,A,Alabama,,
AL,2006,HI,"2,643","2,327","2,149","1,933","1,789","1,759","1,679","1,570","1,628","1,217",898,722,580,A,A,Alabama,,
AL,2007,HI,"3,055","2,647","2,357","2,218","2,038","1,914","1,878","1,696","1,813","1,381","1,024",824,684,A,A,Alabama,,
AL,2008,HI,"3,169","3,013","2,722","2,461","2,254","2,071","1,993","1,906","1,912","1,579","1,207",952,799,A,A,Alabama,,
AL,2009,HI,"3,573","3,058","2,997","2,771","2,505","2,282","2,143","2,041","2,080","1,755","1,361","1,161",976,A,A,Alabama,,
AL,2010,HI,"3,665","3,528","3,142","3,116","2,879","2,560","2,434","2,230","2,286","1,958","1,516","1,380","1,213",A,A,Alabama,,
AL,2011,HI,"3,593","3,306","3,191","2,867","2,871","2,636","2,426","2,226","2,201","1,911","1,586","1,365","1,206",A,A,Alabama,,
AL,2012,HI,"4,010","3,460","3,339","3,209","2,911","2,939","2,672","2,421","2,433","1,979","1,705","1,500","1,338",A,A,Alabama,,
AL,2013,HI,"4,633","3,965","3,515","3,379","3,290","2,970","2,985","2,752","2,726","2,270","1,876","1,664","1,453",A,P,Alabama,,
AL,2014,HI,"5,094","4,485","3,953","3,519","3,410","3,304","3,017","3,011","3,011","2,487","2,028","1,808","1,579",P,P,Alabama,,
AL,2015,HI,"4,796","4,908","4,451","3,936","3,532","3,406","3,346","3,019","3,271","2,729","2,200","1,949","1,712",P,P,Alabama,,
AL,2016,HI,"4,387","4,598","4,839","4,398","3,925","3,512","3,420","3,323","3,260","2,943","2,416","2,095","1,843",P,P,Alabama,,
AL,2017,HI,"4,039","4,238","4,583","4,827","4,429","3,944","3,548","3,429","3,628","2,958","2,639","2,314","2,035",P,P,Alabama,,
AL,2018,HI,"3,564","3,911","4,227","4,576","4,866","4,448","3,988","3,569","3,754","3,304","2,663","2,536","2,226",P,P,Alabama,,
AL,2019,HI,"3,671","3,442","3,890","4,213","4,603","4,876","4,497","4,001","3,892","3,409","2,954","2,556","2,243",P,P,Alabama,,
AL,2020,HI,"3,675","3,542","3,421","3,874","4,233","4,608","4,925","4,505","4,358","3,530","3,043","2,832","2,487",P,P,Alabama,,
AL,2021,HI,,"3,545","3,520","3,405","3,891","4,238","4,652","4,932","4,906","3,951","3,154","2,916","2,562",P,P,Alabama,,
AL,2022,HI,,,"3,527","3,507","3,424","3,901","4,282","4,664","5,379","4,453","3,536","3,024","2,657",P,P,Alabama,,
AL,2023,HI,,,,"3,515","3,527","3,432","3,941","4,294","5,088","4,884","3,986","3,392","2,979",P,P,Alabama,,
AL,2024,HI,,,,,"3,534","3,534","3,467","3,951","4,682","4,617","4,368","3,822","3,357",P,P,Alabama,,
AL,2025,HI,,,,,,"3,541","3,570","3,475","4,307","4,248","4,129","4,188","3,678",P,P,Alabama,,
AL,2026,HI,,,,,,,"3,576","3,578","3,788","3,908","3,799","3,958","3,477",P,P,Alabama,,
AL,2027,HI,,,,,,,,"3,585","3,901","3,438","3,496","3,643","3,200",P,P,Alabama,,
AL,2028,HI,,,,,,,,,"3,909","3,541","3,076","3,352","2,944",P,P,Alabama,,
AL,2029,HI,,,,,,,,,,"3,547","3,167","2,949","2,590",P,P,Alabama,,
AL,2030,HI,,,,,,,,,,,"3,173","3,037","2,667",P,P,Alabama,,
AL,2031,HI,,,,,,,,,,,,"3,042","2,672",P,P,Alabama,,
AL,2000,WH,"35,301","34,881","35,328","35,886","36,563","35,608","36,208","35,192","36,733","31,857","28,946","26,756","24,073",A,A,Alabama,,
AL,2001,WH,"34,468","33,769","34,720","35,111","35,787","36,414","36,319","34,927","36,446","32,010","28,842","26,627","23,462",A,A,Alabama,,
AL,2002,WH,"34,018","33,331","33,794","34,758","35,262","35,838","37,120","35,144","36,791","32,106","29,099","26,652","24,127",A,A,Alabama,,
AL,2003,WH,"34,380","32,879","33,448","33,690","34,777","35,422","36,498","35,805","37,177","32,332","29,290","26,640","23,949",A,A,Alabama,,
AL,2004,WH,"34,792","33,263","32,867","33,225","33,722","34,792","36,112","35,392","37,997","32,242","29,299","26,926","24,391",A,A,Alabama,,
